stratum	term	class	category	file	line_no	speaker	utterance	tokens_marked
parent_voc	dada	vocative	parent	Feldman/020123.cha	3508	FAT	no , silly , dada .	no , silly , [[dada]] .
parent_voc	daddy	vocative	parent	Weist/Roman/030619.cha	646	FAT	you said , “daddy its a spider , ah” !	you said , [[daddy]] its a spider , ah !
parent_voc	mommy	vocative	parent	Braunwald/0diary/010400.cha	32	CHI	Mommy Mommy .	[[Mommy]] Mommy .
parent_voc	momma	vocative	parent	Brown/Eve/020300b.cha	1688	CHI	Momma .	[[Momma]] .
parent_voc	mommy	vocative	parent	Brent/t1/000927.cha	1372	MOT	you say “Mommy , why did you tie a bib on me” . 3165360_3167700	you say [[Mommy]] , why did you tie a bib on me .
parent_voc	daddy	vocative	parent	Brent/w3/010116.cha	1375	MOT	Daddy . 1443227_1443920	[[Daddy]] .
parent_voc	mommy	vocative	parent	Sprott/14StageDoor.cha	164	HE	mommy , mommy , mommy: !	[[mommy]] , mommy , mommy !
parent_voc	daddy	vocative	parent	Valian/19a.cha	794	CHI	goodbye , Daddy .	goodbye , [[Daddy]] .
parent_voc	daddy	vocative	parent	Hall/WhiteWork/sut.cha	1275	CHI	hey daddy ?	hey [[daddy]] ?
parent_voc	mommy	vocative	parent	Bernstein/Interview/Alice/alice1.cha	129	MOT	we call him baby bunny , mommy bunny , sometimes too , but (.) I forgot where I saw the girl .	we call him baby bunny , [[mommy]] bunny , sometimes too , but . I forgot where I saw the girl .
parent_voc	daddy	vocative	parent	MacWhinney/010523.cha	1272	FAT	daddy xxx . 856706_858108	[[daddy]] xxx .
parent_voc	daddy	vocative	parent	VanHouten/Twos/lunch/friendl.cha	321	CHI	Daddy .	[[Daddy]] .
parent_voc	pa	vocative	parent	MacWhinney/010609.cha	1889	CHI	oh pa . 1606353_1607961	oh [[pa]] .
parent_voc	pa	vocative	parent	Valian/16b.cha	677	CHI	pa pa pa .	[[pa]] pa pa .
parent_voc	dad	vocative	parent	Gleason/Dinner/charlie.cha	2617	CHI	Dad , I blowed the candles all out . 1250480_1256761	[[Dad]] , I blowed the candles all out .
parent_voc	mommy	vocative	parent	Suppes/030301.cha	2915	CHI	Mommy .	[[Mommy]] .
parent_voc	mommy	vocative	parent	Brown/Sarah/020417.cha	577	CHI	yyy Mommy .	yyy [[Mommy]] .
parent_voc	mama	vocative	parent	Post/Tow/020024.cha	1675	SIB	Mama .	[[Mama]] .
parent_voc	mommy	vocative	parent	McCune/Alice/010900.cha	596	CHI	what's, that, mommy ? 523563_529800	what's , that , [[mommy]] ?
parent_voc	daddy	vocative	parent	Brent/w3/010201.cha	1713	CHI	Daddy . 4248923_4249463	[[Daddy]] .
parent_voc	daddy	vocative	parent	MacWhinney/080409b.cha	1201	PAR5	daddy [/] daddy . 1985730_1986660	[[daddy]] daddy .
parent_voc	mommy	vocative	parent	Hall/BlackWork/mis.cha	10618	CHI	mommy , who dat [: that] Ca(r)l (.) ?	[[mommy]] , who dat that Ca r l . ?
parent_voc	mommy	vocative	parent	NewmanRatner/24/6493TM.cha	1064	CHI	mommy . 713073_718479	[[mommy]] .
parent_voc	mommy	vocative	parent	NewEngland/20/06.cha	662	CHI	Mommy ?	[[Mommy]] ?
parent_voc	dad	vocative	parent	MacWhinney/070503d.cha	2193	CHI	dad . 1007235_1007676	[[dad]] .
parent_voc	mom	vocative	parent	Kuczaj/041001.cha	282	CHI	hey (.) Mom .	hey . [[Mom]] .
parent_voc	mama	vocative	parent	Post/She/010920.cha	244	SIB	oh Mama .	oh [[Mama]] .
parent_voc	mommy	vocative	parent	Hall/BlackPro/chj.cha	20300	SIS	now put this away mommy , in friduhweiter [: refrigerator] .	now put this away [[mommy]] , in friduhweiter refrigerator .
parent_voc	mom	vocative	parent	Gleason/Mother/theresa.cha	373	CHI	Mom , look .	[[Mom]] , look .
parent_voc	mama	vocative	parent	HSLLD/HV5/MT/shlmt5.cha	225	BRO	hi (.) no (.) no (.) Mom (.) Mama !	hi . no . no . Mom . [[Mama]] !
parent_voc	mommy	vocative	parent	Braunwald/020819.cha	1033	CHI	I'm sitting down , Mommy . 917662_919450	I'm sitting down , [[Mommy]] .
parent_voc	daddy	vocative	parent	Braunwald/0diary/021007.cha	87	CHI	Daddy, would you get my pipit@c [= blanket] ?	[[Daddy]] , would you get my pipit c blanket ?
parent_voc	mama	vocative	parent	HSLLD/HV3/TP/ctrtp3.cha	437	SIS1	<mama [!] mama> [<] !	[[mama]] ! mama !
parent_voc	dad	vocative	parent	HSLLD/HV1/MT/sarmt1.cha	512	CHI	hey dad !	hey [[dad]] !
parent_voc	daddy	vocative	parent	Weist/Roman/030417.cha	837	CHI	no Daddy .	no [[Daddy]] .
parent_voc	mommy	vocative	parent	Brown/Adam/040413.cha	1562	CHI	Mommy .	[[Mommy]] .
parent_voc	mom	vocative	parent	Braunwald/030528b.cha	156	CHI	it's just my blanket , Mom . 61955_63836	it's just my blanket , [[Mom]] .
parent_voc	dada	vocative	parent	Brent/s1/010224.cha	2313	CHI	Dada . 3564816_3565585	[[Dada]] .
parent_voc	daddy	vocative	parent	Peters/020103.cha	41	CHI	hi Daddy . 23283_25141	hi [[Daddy]] .
parent_voc	mommy	vocative	parent	Higginson/June/june03.cha	250	CHI	Mommy .	[[Mommy]] .
parent_voc	daddy	vocative	parent	Higginson/June/june08.cha	1821	CHI	daddy .	[[daddy]] .
parent_voc	daddy	vocative	parent	Sachs/010616.cha	777	CHI	Daddy . 934723_935789	[[Daddy]] .
parent_voc	mom	vocative	parent	McCune/Ronny/011000.cha	1337	CHI	mom .	[[mom]] .
parent_voc	mama	vocative	parent	NewmanRatner/24/5066WT.cha	187	CHI	mama .	[[mama]] .
parent_voc	daddy	vocative	parent	Bloom/Peter/020616.cha	2774	CHI	hey daddy (.) hi daddy (.) hi (.) hi [>] . 3886953_3913788	hey daddy . hi [[daddy]] . hi . hi .
parent_voc	mommy	vocative	parent	Gleason/Mother/isadora.cha	16	CHI	Mommy [>] . 161225_161794	[[Mommy]] .
parent_voc	mom	vocative	parent	HSLLD/HV2/MT/clamt2.cha	253	BRO	Mom ?	[[Mom]] ?
parent_voc	mommy	vocative	parent	Gelman/1998-Books/readingbook30/07.cha	319	CHI	this is a daddy, mommy .	this is a daddy , [[mommy]] .
parent_voc	mommy	vocative	parent	Brown/Eve/010600a.cha	4805	CHI	Mommy .	[[Mommy]] .
parent_voc	mommy	vocative	parent	Hall/WhiteWork/kag.cha	751	CHI	mommy , are you going ?	[[mommy]] , are you going ?
parent_arg	mother	argument	parent	Hall/BlackWork/lef.cha	10983	CHI	you want spend the night with my mother ?	you want spend the night with my [[mother]] ?
parent_arg	daddy	argument	parent	Kuczaj/021027.cha	1630	CHI	Daddy did .	[[Daddy]] did .
parent_arg	mommy	argument	parent	Hall/BlackPro/brd.cha	17005	SIS	mommy look at ?	[[mommy]] look at ?
parent_arg	mother	argument	parent	MacWhinney/080826b.cha	1232	PAR6	some animals grow in their mothers than they are born . 1508050_1511410	some animals grow in their [[mothers]] than they are born .
parent_arg	daddy	argument	parent	Gleason/Dinner/martin.cha	2771	MOT	I'm gonna bring Daddy xxx and then we'll have dessert . 1635519_1639501	I'm gonna bring [[Daddy]] xxx and then we'll have dessert .
parent_arg	mom	argument	parent	HSLLD/HV1/TP/sustp1.cha	309	CHI	Mom I played blockies@f .	[[Mom]] I played blockies f .
parent_arg	daddy	argument	parent	Brown/Sarah/020319.cha	676	FAT	that's Daddy's store .	that's [[Daddy's]] store .
parent_arg	daddy	argument	parent	Weist/Matt/040921.cha	596	CHI	but this time I want my daddy and me to &-um play because my daddy's the best player . 535693_543317	but this time I want my [[daddy]] and me to um play because my daddy's the best player .
parent_arg	daddy	argument	parent	Warren/wendy.cha	245	MOT	Daddy went out , too .	[[Daddy]] went out , too .
parent_arg	dada	argument	parent	Brent/f1/010304.cha	1504	MOT	where's your dada ? 3721153_3721850	where's your [[dada]] ?
parent_arg	mother	argument	parent	Sawyer/2-05-92.cha	414	JW	the mother got hurt, okay ? 544227_545737	the [[mother]] got hurt , okay ?
parent_arg	mom	argument	parent	Kuczaj/020908.cha	254	CHI	Mom (.) I don't wanna eat this part .	[[Mom]] . I don't wanna eat this part .
parent_arg	daddy	argument	parent	Snow/020518c.cha	3476	MOT	that's Daddy and Baaee [= Mommy] that's right . 2921195_2923152	that's [[Daddy]] and Baaee Mommy that's right .
parent_arg	mommy	argument	parent	Bloom/Peter/020100.cha	7945	CHI	mommy get my xxx . 12337005_12342113	[[mommy]] get my xxx .
parent_arg	mommy	argument	parent	Snow/020518b.cha	737	CHI	Baaee's [= Mommy's] shoulder almost . 618911_622408	Baaee's [[Mommy's]] shoulder almost .
parent_arg	daddy	argument	parent	Gopnik/prompted/p05342.cha	167	CHI	because (.) me daddy wanted me to huhrd [: hurt] myself .	because . me [[daddy]] wanted me to huhrd hurt myself .
parent_arg	mommy	argument	parent	HSLLD/HV3/MT/brimt3.cha	1210	MOT	well how does she walk around and not [/] not Mommy ever see her ?	well how does she walk around and not not [[Mommy]] ever see her ?
parent_arg	mom	argument	parent	HSLLD/HV7/ET/davet7.cha	1501	INV	you can still play with the magnets while I'm talking [>] with your mom .	you can still play with the magnets while I'm talking with your [[mom]] .
parent_arg	mommy	argument	parent	Gelman/2014-IndDiff/44C-P1.cha	578	MOT	mommy's favorite, was +...	[[mommy's]] favorite , was . . .
parent_arg	father	argument	parent	MacWhinney/060406b2.cha	222	FAT	I thought you knew more about everything than your father . 117293_120569	I thought you knew more about everything than your [[father]] .
parent_arg	mommy	argument	parent	Brent/s1/010108.cha	522	MOT	can Mommy give you a hug ? 681443_682650	can [[Mommy]] give you a hug ?
parent_arg	mama	argument	parent	Morisset/Seattle/797m30.cha	389	MOT	doesn't look like toys to Mama .	doesn't look like toys to [[Mama]] .
parent_arg	mommy	argument	parent	Gleason/Mother/richard.cha	499	CHI	where's dis [: this] go Mommy ?	where's dis this go [[Mommy]] ?
parent_arg	mommy	argument	parent	Suppes/030106.cha	2908	CHI	Mommy (.) look at this .	[[Mommy]] . look at this .
parent_arg	dad	argument	parent	Gelman/2004-Gender/66.cha	894	MOT	a dad knitting a sweater .	a [[dad]] knitting a sweater .
parent_arg	mommy	argument	parent	VanHouten/Twos/teaching/royalt.cha	274	MOT	show Mommy what you do .	show [[Mommy]] what you do .
parent_arg	mommy	argument	parent	Lego-protect/Lego/023-1.cha	2329	CHI	Mommy hair . 4705226_4705726	[[Mommy]] hair .
parent_arg	mommy	argument	parent	Brown/Adam/030126.cha	1684	CHI	Mommy (.) where dis [: this] go ?	[[Mommy]] . where dis this go ?
parent_arg	mom	argument	parent	HSLLD/HV2/TP/tomtp2.cha	788	CHI	oh mom here's another one of these things .	oh [[mom]] here's another one of these things .
parent_arg	daddy	argument	parent	Nicolopoulou/MP99/MP99_33myrtle.cha	127	CHI	then he had two daddies.	then he had two [[daddies]] .
parent_arg	mama	argument	parent	Brent/s3/001128.cha	580	MOT	say Mama@q &=noise ! 1419177_1420177	say [[Mama]] q noise !
parent_arg	mommy	argument	parent	MacWhinney/070518a.cha	1475	FAT	<don't bump mommy's beer> [<] . 1258452_1258963	don't bump [[mommy's]] beer .
parent_arg	mom	argument	parent	Kuczaj/040912.cha	83	CHI	Mom (.) this thing is almost broken .	[[Mom]] . this thing is almost broken .
parent_arg	daddy	argument	parent	Bloom/Peter/030120.cha	3106	PAT	and then a mommy and daddy . 3276479_3280298	and then a mommy and [[daddy]] .
parent_arg	daddy	argument	parent	Bloom/Peter/020812.cha	8797	CHI	<daddy's> [/] daddy's in daddy's school (.) his school .	daddy's daddy's in [[daddy's]] school . his school .
parent_arg	mommy	argument	parent	NewEngland/14/13.cha	1686	MOT	<where's Mommy> [<] ?	where's [[Mommy]] ?
parent_arg	daddy	argument	parent	MacWhinney/050622b.cha	1017	FAT	just Daddy died huh ? 1044872_1047222	just [[Daddy]] died huh ?
parent_arg	mommy	argument	parent	Suppes/020305.cha	4182	CHI	o:h (.) that's cute (.) Mommy .	o h . that's cute . [[Mommy]] .
parent_arg	daddy	argument	parent	NewmanRatner/Interviews/07/4767JC.cha	360	MOT	you like to watch mommy and daddy cook . 252966_255301	you like to watch mommy and [[daddy]] cook .
parent_arg	mommy	argument	parent	Brown/Sarah/030409.cha	497	CHI	Mommy (.) where's a yyy ?	[[Mommy]] . where's a yyy ?
parent_arg	papa	argument	parent	Valian/16a.cha	1515	INV	at the pretend Mimi and Papa's .	at the pretend Mimi and [[Papa's]] .
parent_arg	mama	argument	parent	HSLLD/HV5/MT/bramt5.cha	2158	CHI	Mom (.) Mama (.) I know .	Mom . [[Mama]] . I know .
parent_arg	dada	argument	parent	Hall/WhitePro/jub.cha	11343	CHI	dada@o [/] dada@o [/] dada@o [/] dada@o [/] dada@o [/] dada@o [/] dada@o [/] dada@o !	dada o dada o dada o dada o dada o [[dada]] o dada o dada o !
parent_arg	daddy	argument	parent	Brown/Sarah/040401.cha	1255	MOT	Daddy know it ?	[[Daddy]] know it ?
parent_arg	mommy	argument	parent	NewmanRatner/24/4592HVG.cha	2258	MOT	where i have him first tell me mommy . 2262015_2266405	where i have him first tell me [[mommy]] .
parent_arg	daddy	argument	parent	Brown/Sarah/040418.cha	81	CHI	Daddy just right the gold .	[[Daddy]] just right the gold .
parent_arg	daddy	argument	parent	Gelman/2004-Gender/56.cha	664	MOT	what, do you think a daddy who knits could drive a race car ?	what , do you think a [[daddy]] who knits could drive a race car ?
parent_arg	dad	argument	parent	MacWhinney/070503c.cha	43	MAR	+, by Dad and (.) Ross . 89281_90929	, by [[Dad]] and . Ross .
parent_arg	daddy	argument	parent	Clark/021025a.cha	1807	FAT	didn't you want your daddy after you fell on your head ?	didn't you want your [[daddy]] after you fell on your head ?
parent_arg	mommy	argument	parent	Brent/d1/010228.cha	385	MOT	Mommy (.) Mommy needs to find the cutting board so I can cut your pizza . 800755_804339	[[Mommy]] . Mommy needs to find the cutting board so I can cut your pizza .
extended_voc	grandma	vocative	extended	HSLLD/HV3/TP/zentp3.cha	1173	CHI	grandma .	[[grandma]] .
extended_voc	grandma	vocative	extended	PetersonMcCabe/60.cha	162	CHI	&-uh my grandma, she was, she was in the hospital and so we went to go to see her .	uh my [[grandma]] , she was , she was in the hospital and so we went to go to see her .
extended_voc	grandma	vocative	extended	Valian/04b.cha	816	MOT	Grandma .	[[Grandma]] .
extended_voc	brother	vocative	extended	PetersonMcCabe/70.cha	590	CHI	I was coloring then my brother, me and my brother pushed me and I go all the way up to the paper .	I was coloring then my [[brother]] , me and my brother pushed me and I go all the way up to the paper .
extended_voc	grandmother	vocative	extended	Sachs/020605.cha	267	CHI	hi Grandmother . 617983_619416	hi [[Grandmother]] .
extended_voc	nana	vocative	extended	Brent/s1/001126.cha	286	CHI	Nana . 430384_431194	[[Nana]] .
extended_voc	sister	vocative	extended	Nicolopoulou/MP99/MP99_37lina-1.cha	214	CHI	once upon a time there was a mom, a dad, a brother, a sister, and a baby.	once upon a time there was a mom , a dad , a brother , a [[sister]] , and a baby .
extended_voc	grandma	vocative	extended	Gelman/2004-Gender/46.cha	200	CHI	grandma !	[[grandma]] !
extended_voc	son	vocative	extended	Gleason/Dinner/charlie.cha	2354	FAT	but be careful , son . 1115504_1116050	but be careful , [[son]] .
extended_voc	grandma	vocative	extended	Hall/WhiteWork/stl.cha	18280	CHI	I want this grandma , I want this piece .	I want this [[grandma]] , I want this piece .
extended_voc	grandpa	vocative	extended	Kuczaj/030622.cha	1062	CHI	Grandpa .	[[Grandpa]] .
extended_voc	nana	vocative	extended	Brown/Sarah/021130.cha	500	CHI	&-um (.) Nana .	um . [[Nana]] .
extended_voc	grandma	vocative	extended	Lego-protect/Lego/004-1.cha	120	MOT	oh hi grandma . 628705_629475	oh hi [[grandma]] .
extended_voc	brother	vocative	extended	HSLLD/HV2/BR/tribr2.cha	1026	CHI	<oh brother> [<] .	oh [[brother]] .
extended_voc	uncle	vocative	extended	Weist/Emily/021028.cha	702	CAR	Uncle ? 489047_492056	[[Uncle]] ?
extended_voc	grandma	vocative	extended	Weist/Emily/040519.cha	1352	CHI	who's gonna go in, Grandma just can't do it by herself ? 825939_831541	who's gonna go in , [[Grandma]] just can't do it by herself ?
extended_voc	uncle	vocative	extended	HSLLD/HV3/BR/geobr3.cha	704	MOT	oh Uncle Uncle .	oh Uncle [[Uncle]] .
extended_voc	grandma	vocative	extended	Valian/06a.cha	816	MOT	yeah , Grandma's backyard .	yeah , [[Grandma's]] backyard .
extended_voc	daughter	vocative	extended	HSLLD/HV1/BR/marbr1.cha	402	MOT	the stepmother had two daughters , they were as proud and cruel as their mother and very plain .	the stepmother had two [[daughters]] , they were as proud and cruel as their mother and very plain .
extended_voc	grandfather	vocative	extended	Hall/WhitePro/zoe.cha	837	CHI	grandpa's [: grandfather's] ?	grandpa's [[grandfather's]] ?
extended_voc	grandma	vocative	extended	Weist/Jillian/020206.cha	1117	JEN	Grandma ? 1075349_1075882	[[Grandma]] ?
extended_voc	brother	vocative	extended	PetersonMcCabe/57.cha	83	INV	once your brother, what ?	once your [[brother]] , what ?
extended_voc	nana	vocative	extended	HSLLD/HV1/TP/shotp1.cha	1681	MOT	Nana .	[[Nana]] .
extended_voc	daughter	vocative	extended	Soderstrom/Joe/000717.cha	2941	MOT	are you a daughter, or a son ? 2016812_2018316	are you a [[daughter]] , or a son ?
extended_voc	nana	vocative	extended	Brown/Sarah/020328.cha	642	CHI	xxx Nana xxx .	xxx [[Nana]] xxx .
extended_voc	grandma	vocative	extended	Hall/BlackWork/roj.cha	8703	CHI	hey grandma .	hey [[grandma]] .
extended_voc	sister	vocative	extended	Valian/10c.cha	1813	CHI	Sister !	[[Sister]] !
extended_voc	grandmom	vocative	extended	MacWhinney/060323b.cha	475	MAR	grandmom [>] . 393880_395262	[[grandmom]] .
extended_voc	grandma	vocative	extended	HSLLD/HV2/TP/inatp2.cha	368	CHI	xxx grandma !	xxx [[grandma]] !
extended_voc	gramps	vocative	extended	Bernstein/Children/Kay/010600.cha	1027	MOT	hi Gramps ? 1233731_1234521	hi [[Gramps]] ?
extended_voc	brother	vocative	extended	PetersonMcCabe/81.cha	446	CHI	when [/] when my baby brother , they wanted second to the babiest [: smallest] [* s:r] .	when when my baby [[brother]] , they wanted second to the babiest smallest s r .
extended_voc	son	vocative	extended	Hall/WhiteWork/sut.cha	18077	FAT	hi son .	hi [[son]] .
extended_voc	grandma	vocative	extended	McCune/Alice/010705.cha	1935	CHI	oh, grandma, wears, hat . 1204563_1208048	oh , [[grandma]] , wears , hat .
extended_voc	daughter	vocative	extended	Sawyer/1-14-92.cha	1273	KF	daughter, can you xxx . 2227412_2229106	[[daughter]] , can you xxx .
extended_voc	grampa	vocative	extended	Demetras1/020807.cha	2142	FAT	we're gonna take your clothes off , Grampa .	we're gonna take your clothes off , [[Grampa]] .
extended_voc	grandma	vocative	extended	NewmanRatner/11/5365DL.cha	675	MOT	hi grandma .	hi [[grandma]] .
extended_voc	grandma	vocative	extended	PetersonMcCabe/33.cha	143	CHI	and, &-um when we got home from grandma's, well my dad usually came to see me and he, &-um he usually took us home instead of grandmama always watching us, grandparents .	and , um when we got home from [[grandma's]] , well my dad usually came to see me and he , um he usually took us home instead of grandmama always watching us , grandparents .
extended_voc	grandma	vocative	extended	Braunwald/030311.cha	1796	FAT	Andrew kicked the baby , Grandma . 964145_966444	Andrew kicked the baby , [[Grandma]] .
extended_voc	nana	vocative	extended	Brent/c1/010304.cha	1626	CHI	Nana . 2907260_2907895	[[Nana]] .
extended_voc	sister	vocative	extended	Gleason/Father/wanda.cha	2451	FAT	this is a big sister , and that's a big brother , and that's a little brother .	this is a big [[sister]] , and that's a big brother , and that's a little brother .
extended_voc	cousin	vocative	extended	HSLLD/HV3/MT/catmt3.cha	1583	AUN	Cousin .	[[Cousin]] .
extended_voc	sister	vocative	extended	HSLLD/HV5/BR/gilbr5.cha	50	CHI	sister +...	[[sister]] . . .
extended_voc	sister	vocative	extended	Braunwald/010619.cha	189	MOT	Jwww [% sister] , it's stained already . 143250_144585	Jwww [[sister]] , it's stained already .
extended_voc	nana	vocative	extended	Warren/wendy.cha	2372	CHI	Nana .	[[Nana]] .
extended_voc	sister	vocative	extended	Gathercole/16.cha	997	SAA	my sister , &-uh (.) <has it o(n)> [//] has a black one on .	my [[sister]] , uh . has it o n has a black one on .
extended_voc	grampa	vocative	extended	Gelman/2004-Gender/53.cha	51	CHI	grampa .	[[grampa]] .
extended_voc	grandma	vocative	extended	Higginson/April/april01.cha	2121	CHI	Grandma's .	[[Grandma's]] .
extended_voc	sister	vocative	extended	HSLLD/HV1/TP/zantp1.cha	185	MOT	Sister .	[[Sister]] .
extended_voc	grandma	vocative	extended	HSLLD/HV7/MT/annmt7.cha	412	COU	(..) Grandma .	. . [[Grandma]] .
extended_voc	nana	vocative	extended	Brown/Sarah/020712.cha	695	CHI	Nana .	[[Nana]] .
extended_arg	sibling	argument	extended	Gelman/2014-IndDiff/66P-R1.cha	294	MOT	probably a sibling's (be)cause it's got stars on it and I don't know too many adults who have stars on their bed .	probably a [[sibling's]] be cause it's got stars on it and I don't know too many adults who have stars on their bed .
extended_arg	sister	argument	extended	HSLLD/HV3/MT/termt3.cha	46	SIS	<Daddy found my sister (.) Daddy found my sister> [=! singing] .	Daddy found my sister . Daddy found my [[sister]] ! singing .
extended_arg	uncle	argument	extended	Braunwald/030422.cha	583	SIS	Uncle_mwww [% uncle] [>] . 261249_262573	Uncle mwww [[uncle]] .
extended_arg	parent	argument	extended	Valian/09b.cha	27	INV	okay , this is November fourth , nineteen eighty five , and this is the second meeting with Child and Parent .	okay , this is November fourth , nineteen eighty five , and this is the second meeting with Child and [[Parent]] .
extended_arg	brother	argument	extended	Hall/BlackWork/lef.cha	2161	CHI	oh brother I hope we don't xxx [//] (.) gimme [: give me] some potatoes .	oh [[brother]] I hope we don't xxx . gimme give me some potatoes .
extended_arg	grandma	argument	extended	Weist/Jillian/020206.cha	69	MOT	Grandma and Grandpa ? 65166_67360	[[Grandma]] and Grandpa ?
extended_arg	grandma	argument	extended	Weist/Emily/030127.cha	970	CHI	the part of Grandma's bed . 719868_723025	the part of [[Grandma's]] bed .
extended_arg	sister	argument	extended	Braunwald/020221.cha	1907	CHI	Didi@c [% sister] . 1367935_1369351	Didi c [[sister]] .
extended_arg	sister	argument	extended	Hall/BlackPro/mim.cha	22953	CHI	who you calling kid to my sister ?	who you calling kid to my [[sister]] ?
extended_arg	grandma	argument	extended	Gelman/2014-IndDiff/49C-P1.cha	152	CHI	but I [/] I want grandma .	but I I want [[grandma]] .
extended_arg	uncle	argument	extended	PetersonMcCabe/92.cha	391	CHI	and that's where we went with my uncle .	and that's where we went with my [[uncle]] .
extended_arg	grandma	argument	extended	PetersonMcCabe/92.cha	54	CHI	it was down in Kentucky <and I> [//] <when all those> [//] when I was visit [//] visiting my grandma .	it was down in Kentucky and I when all those when I was visit visiting my [[grandma]] .
extended_arg	grandpa	argument	extended	Demetras2/Jimmy/mother/020705.cha	750	MOT	oh grandpa doesn't use a ruler to screw with .	oh [[grandpa]] doesn't use a ruler to screw with .
extended_arg	brother	argument	extended	PetersonMcCabe/35.cha	495	CHI	know , when my brothers did that once <he was> [//] whooahah@i he [//] &-um the front seat was going phhhhh@o like that .	know , when my [[brothers]] did that once he was whooahah i he um the front seat was going phhhhh o like that .
extended_arg	sister	argument	extended	HSLLD/HV3/MT/sarmt3.cha	307	MOT	Sis I'm cutting your sister's meat .	Sis I'm cutting your [[sister's]] meat .
extended_arg	sister	argument	extended	HSLLD/HV2/MT/zenmt2.cha	1421	MOT	say I love my sister .	say I love my [[sister]] .
